ID_CANDIDATO;REMUN_BRUTA_ANUAL_PUBLICA;REMUN_BRUTA_ANUAL_PRIVADA;RENTA_BRUTA_ANUAL_INDIV_PUBLICA;RENTA_BRUTA_ANUAL_INDIV_PRIVADA;OTROS_INGRESOS_ANUALES_PUBLICA;OTROS_INGRESOS_ANUALES_PRIVADA;TOTAL_REMUN_BRUTA_ANUAL;TOTAL_RENTA_BRUTA_ANUAL;TOTAL_OTROS_INGRESOS_ANUALES;TOTAL_GENERAL
160190;0;0;0;0;0;60000;0;0;60000;60000
160191;24000;0;0;0;0;0;24000;0;0;24000
160192;0;4400;0;0;0;0;4400;0;0;4400
160193;14400;0;0;0;0;0;14400;0;0;14400
161083;0;0;53714.28;136660;0;0;0;190374.28;0;190374.28
161084;8000;29700;0;0;0;0;37700;0;0;37700
161084;8000;29700;0;0;0;0;37700;0;0;37700
161086;0;7440;0;18000;0;12000;7440;18000;12000;37440
161087;30000;0;0;0;0;0;30000;0;0;30000
157870;54917.07;30000;0;800;0;0;84917.07;800;0;85717.07
157871;5488;0;0;40853;0;0;5488;40853;0;46341
157872;120000;0;0;0;0;0;120000;0;0;120000
157873;70800;24000;0;0;0;0;94800;0;0;94800
157874;0;0;0;0;0;22465;0;0;22465;22465
158951;27600;0;0;0;0;0;27600;0;0;27600
158952;0;0;0;36000;0;0;0;36000;0;36000
158953;0;24000;0;0;0;0;24000;0;0;24000
157965;0;0;120000;0;0;0;0;120000;0;120000
157966;27600;0;0;0;0;0;27600;0;0;27600
157967;0;0;36000;0;0;0;0;36000;0;36000
157968;0;19200;0;0;0;12000;19200;0;12000;31200
157969;0;0;130000;0;0;0;0;130000;0;130000
160984;0;0;0;59167;0;0;0;59167;0;59167
160986;0;0;0;0;0;0;0;0;0;0
160987;0;14938;10300;6350;0;0;14938;16650;0;31588
158467;0;7317;0;0;0;68000;7317;0;68000;75317
158469;0;26000;0;0;0;0;26000;0;0;26000
160478;0;0;0;200000;0;0;0;200000;0;200000
160479;24236.38;0;0;31550;0;0;24236.38;31550;0;55786.38
158531;0;0;0;30000;0;0;0;30000;0;30000
158532;0;0;0;0;0;46800;0;0;46800;46800
158533;133631;0;0;0;0;0;133631;0;0;133631
158534;11000;0;0;0;0;0;11000;0;0;11000
158535;0;0;0;24000;0;0;0;24000;0;24000
161817;0;48000;12000;0;0;0;48000;12000;0;60000
161818;0;0;0;24000;0;0;0;24000;0;24000
161819;22500;0;0;2000;0;0;22500;2000;0;24500
161820;0;0;0;6000;0;0;0;6000;0;6000
161821;84000;0;0;5000;0;0;84000;5000;0;89000
159778;44025;0;17696;0;0;0;44025;17696;0;61721
159779;39600;0;15000;0;40800;0;39600;15000;40800;95400
159780;39000;0;0;0;84000;0;39000;0;84000;123000
159781;49917.42;0;0;0;0;0;49917.42;0;0;49917.42
159782;50000;0;0;0;0;0;50000;0;0;50000
159467;0;0;0;32400;0;0;0;32400;0;32400
159468;0;0;0;13000;0;0;0;13000;0;13000
159469;0;10200;0;58385;0;0;10200;58385;0;68585
159470;0;0;0;17618;0;0;0;17618;0;17618
159471;115000;0;0;0;0;0;115000;0;0;115000
159345;0;80000;0;0;0;0;80000;0;0;80000
159346;0;0;0;10000;0;0;0;10000;0;10000
159347;60000;0;0;0;0;0;60000;0;0;60000
159349;30000;0;0;0;0;0;30000;0;0;30000
160306;0;0;8400;25000;0;19000;0;33400;19000;52400
160307;0;0;0;34000;0;30000;0;34000;30000;64000
160308;28800;0;0;5000;0;15000;28800;5000;15000;48800
160310;0;0;33000;0;0;0;0;33000;0;33000
159295;0;0;0;42000;0;0;0;42000;0;42000
159296;85500;0;500;0;0;0;85500;500;0;86000
159297;13866.67;0;0;0;0;14500;13866.67;0;14500;28366.67
159299;0;10200;0;0;0;0;10200;0;0;10200
161494;84000;0;0;0;25000;0;84000;0;25000;109000
161496;0;0;0;80000;0;240000;0;80000;240000;320000
161496;0;0;0;80000;0;240000;0;80000;240000;320000
161497;1000;0;0;0;0;0;1000;0;0;1000
161498;0;0;0;10000;0;0;0;10000;0;10000
159976;0;0;30000;0;0;0;0;30000;0;30000
159978;0;0;0;124317;0;62350;0;124317;62350;186667
159980;28800;0;0;0;0;0;28800;0;0;28800
161448;114075;0;0;0;0;154800;114075;0;154800;268875
161449;28800;0;0;0;0;0;28800;0;0;28800
161450;11150;0;13000;0;0;0;11150;13000;0;24150
161451;0;0;0;16800;0;0;0;16800;0;16800
161452;0;32069.280000000002;0;0;0;0;32069.28;0;0;32069.28
159541;0;0;9960;24000;5000;5000;0;33960;10000;43960
159543;10518.42;0;5400;0;7800;0;10518.42;5400;7800;23718.42
159544;107147.84;0;0;0;0;0;107147.84;0;0;107147.84
159545;0;0;33600;0;0;0;0;33600;0;33600
160223;10429;59690;0;10870;43575;0;70119;10870;43575;124564
160224;0;0;0;0;0;18000;0;0;18000;18000
160226;0;0;0;42000;0;0;0;42000;0;42000
161176;100000;0;0;0;0;0;100000;0;0;100000
161177;100356;0;0;0;0;0;100356;0;0;100356
161178;68333;0;9428;0;0;0;68333;9428;0;77761
161179;9500;0;0;0;0;0;9500;0;0;9500
161180;0;0;0;10800;0;0;0;10800;0;10800
161246;0;60000;0;0;0;60000;60000;0;60000;120000
161247;0;35000;0;0;0;0;35000;0;0;35000
161249;20000;40000;0;0;0;0;60000;0;0;60000
161249;20000;40000;0;0;0;0;60000;0;0;60000
161288;0;18000;0;0;0;0;18000;0;0;18000
161289;36364.8;0;0;0;0;0;36364.8;0;0;36364.8
161290;0;11160;0;0;0;18000;11160;0;18000;29160
157875;0;24000;0;0;0;0;24000;0;0;24000
157877;0;0;12000;13000;0;0;0;25000;0;25000
160106;0;75000;0;0;0;45000;75000;0;45000;120000
160107;0;0;35900;0;0;0;0;35900;0;35900
158221;1500;0;0;0;0;0;1500;0;0;1500
159332;42000;0;0;0;0;0;42000;0;0;42000
159333;0;18000;0;0;0;0;18000;0;0;18000
159334;21000;0;0;0;0;0;21000;0;0;21000
160668;0;30000;0;0;0;0;30000;0;0;30000
159988;0;0;47800;0;0;0;0;47800;0;47800
159989;35452.200000000004;0;0;0;0;0;35452.2;0;0;35452.2
159990;0;2250;0;0;0;0;2250;0;0;2250
161891;31000;0;0;0;0;0;31000;0;0;31000
161892;0;60000;0;0;0;0;60000;0;0;60000
160185;0;0;0;33600;0;0;0;33600;0;33600
160186;0;0;0;32000;0;0;0;32000;0;32000
160187;0;0;0;14400;0;0;0;14400;0;14400
159870;0;44179.68;0;0;0;0;44179.68;0;0;44179.68
159871;0;110000;0;40000;0;0;110000;40000;0;150000
159872;30000;0;0;0;0;0;30000;0;0;30000
159336;1100;0;0;0;1450;0;1100;0;1450;2550
