ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
160633;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;GERENCIA DE PROYECTOS Y MEDIO AMBIENTE;SI;SI
160634;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;GERENCIA SOCIAL;SI;SI
160401;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;GERENCIA SOCIAL;SI;SI
160402;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;AUDITORIA INTEGRAL;;NO
159563;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRIA EN DERECHO CIVIL Y COMERCIAL;SI;
159564;UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA;DERECHO, MENCION DERECHO CIVIL Y COMERCIAL;SI;SI
161168;UNIVERSIDAD CESAR VALLEJO;GESTION PUBLICA;;NO
158218;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;GESTIÓN PÚBLICA;;NO
158219;UNIVERSIDAD COMPLUTENSE DE MADRID;MASTER UNIVERSITARIO EN GOBIERNO Y ADMINISTRACION PUBLICA;SI;SI
159631;UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA;GESTION PUBLICA;SI;
160677;UNIVERSIDAD DEL PACIFICO;GESTION DE AGRONEGOCIOS Y ALIMENTOS;;NO
160678;UNIVERSIDAD SAN MARTIN DE PORRES;GESTIÓN PÚBLICA;SI;SI
160680;UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO;MAESTRÍA EN PROJECT MANAGEMENT;SI;SI
160681;UNIVERSIDAD PARTICULAR DE CHICLAYO;AUDITORIA TRIBUTARIA Y GESTION FISCAL;;NO
160682;UNIVERSIDAD NACIONAL DE TRUJILLO;DERECHO;SI;SI
157862;ESCUELA DE POST GRADO DE LA UNIVERSIDAD NACIONAL DE CAJAMARCA;MAESTRIA EN CIENCIAS;SI;
157864;UNIVERSIDAD PERUANA "CAYETANO HEREDIA";INVESTIGACION Y DOCENCIA EN EDUCACION;SI;SI
157865;ESCUELA DE POSTGRADO DE LA UNIVERSIDAD NACIONAL DE CAJAMARCA;MAESTRIA CON MENCION EN DERECHO CONSTITUCIONAL Y DERECHOS HUMANOS;SI;
159380;UNIVERSIDAD NACIONAL DE CAJAMARCA;PLANIFICACIÓN Y ADMINISTRACIÓN DE LA EDUCACIÓN;SI;SI
159381;CESAR VALLEJO;MAGISTER EN GESTIÓN POLITICA;SI;SI
