ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
159217;INSTITUTO PERUANO DE SEGURO;MAESTRIA EN SEGUROS;SI;SI
161475;UNIVERSIDAD NACIONAL DE INGENIERIA;GERENCIA PUBLICA;SI;SI
161477;UNIVERSIDAD INC GARCILAZO DE LA VEGA;INVESTIGACION Y EDUCACIÓN;SI;SI
161477;UNIVERSIDAD INC GARCILAZO DE LA VEGA;INVESTIGACION Y EDUCACIÓN;SI;SI
161734;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION - HUACHO;ECOLOGIA Y PRESERVACION AMBIENTAL;SI;SI
161735;UNIVERSIDAD NACIONAL JOSE FAUSTINO SÁNCHEZ CARRIÓN;MAESTRÍA EN CIENCIAS PENALES;;NO
160074;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MAESTRÍA EN DERECHO CONSTITUCIONAL Y DERECHOS HUMANOS;SI;SI
161238;UNIVERSIDAD CATOLICA DEL PERU;ADMINISTRACION ESTRATEGICA DE EMPRESAS;SI;SI
158114;CESAR VALLEJO;PSICOLOGÍA EDUCATIVA;SI;SI
158115;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;MAESTRIA EN CIENCIA POLITICA CON MENCIÓN EN GESTIÓN PUBLICA;;NO
158116;UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE;MAESTRÍA CON MENCIÓN EN   DERECHO CONSTITUCIONAL Y DERECHOS HUMANOS;;NO
161749;CENTRUM PUCP;ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS;SI;
