ID_CANDIDATO;TIPO_BIEN;VALOR
161038;CASA;71324
161038;CASA;47636
161038;CASA;178971
161041;INMUEBLE;68592.35
161041;INMUEBLE;168478.83000000002
161041;INMUEBLE;751155.5700000001
161042;CASA;191639.34
161042;TERRENO;34284.17
161044;INMUEBLE;500000
161044;INMUEBLE;70000
161051;DEPARTAMENTO;55116
161051;STAND;2618
161052;CASA;42
161053;CASA;16552.99
161053;DEPARTAMENTO;67293.39
161053;COCHERA;2342.8
161055;CASA;137000
161055;CASA;34364
161055;CASA;78400.8
161055;CASA;200935
161055;LOCAL;184306.05000000002
161055;LOCAL;51907.6
161055;CASA;123955
161056;EDIFICIO MULTIFAMILIAR;519417.60000000003
161056;CASA;128547.48
161056;EDIFICIO DE OFICINAS;82456.46
161056;DEPARTAMENTO;128545.86
161056;ESTACIONAMIENTO;22802.94
161056;TERRENO;9300
161059;CASA;21150.2
161059;OFICINA;17755.56
161062;CASA;400000
161066;INMUEBLE;23700
161067;DEPARTAMENTO;114000
161068;CASA;4972756
160355;PREDIO;44754
160355;PREDIO;44754
160356;PREDIO;21000
160358;OFICINA;6114
160358;OFICINA;82000
160358;PREDIO;123529
160358;PREDIO;8000
160360;PREDIO;102000
160362;PREDIO;1
160362;PREDIO;1
160362;PREDIO;1
160362;PREDIO;1
160362;PREDIO;1
160362;PREDIO;0
160368;CASA;150000
160368;CASA;220000
160376;PREDIO;1
160386;OFICINA;180
160387;PREDIO;1
160387;PREDIO;1
160390;TERRENO;2000
160806;CASA;161672
160806;TERRENO;97600
160807;DEPARTAMENTO;316900
160807;CASA;75000
160807;CASA;876460
160808;DEPARTAMENTO;89638.86
160808;ESTACIONAMIENTO;18129.78
160808;DEPARTAMENTO;242772.7
160808;ESTACIONAMIENTO;34187.18
160808;DEPOSITO;4021.4300000000003
160808;ESTACIONAMIENTO;12000
160809;TERRENO;157000
160812;LOTE;10400
160818;DEPARTAMENTO;72684.16
160818;TERRENO;52500
160820;DEPARTAMENTO;83434.7
160820;ESTACIONAMIENTO;10757.27
160823;CASA;192279
160824;DEPARTAMENTO;168977
160824;DEPARTAMENTO;2801
160824;ESTACIONAMIENTO;17526
160824;CASA;47600
160824;DEPARTAMENTO;112450.23
160824;ESTACIONAMIENTO;713.9300000000001
160824;ESTACIONAMIENTO;9012.45
160824;DEPARTAMENTO;54620
160824;ESTACIONAMIENTO ES 10;2200
160824;ESTACIONAMIENTO ES 9;2200
160824;DEPÓSITO 1;738
160824;DEPARTAMENTO - COPROPIEDAD;107600
160824;ESTACIONAMIENTO;2500
160824;DEPARTAMENTO;168977
160824;ESTACIONAMIENTO;17526
160824;DEPOSITO;2801
160824;CASA;81426
160824;ESTACIONAMIENTO 257;652.86
160824;ESTACIONAMIENTO 258;652.86
160824;ACCIONES Y DERECHOS SOBRE UN T;33600
160824;DEPARTAMENTO;62633.94
160824;ESTACIONAMIENTO;1189.41
160825;DEPARTAMENTO;122063.12
160826;DEPARTAMENTO;82662.38
160826;ESTACIONAMIENTO;13454.26
160826;DEPARTAMENTO;256114.11000000002
160826;ESTACIONAMIENTO;24824.07
160826;DEPOSITO;1363.79
160826;ESTACIONAMIENTO;12000
160826;DEPARTAMENTO;13131.95
160826;ESTACIONAMIENTO;2154.67
160827;CASA;217031
160833;CASA;83226.72
160837;DEPARTAMENTO;3000000
160837;ESTACIONAMIENTO;15000
160837;ESTACIONAMIENTO;15000
160841;DEPARTAMENTO;89638.86
160841;ESTACIONAMIENTO;18129.78
160841;DEPARTAMENTO;242772.7
160841;ESTACIONAMIENTO;34187.18
160841;DEPOSITO;4021.4300000000003
159832;INMUEBLE TIENDA;36745.48
159832;INMUEBLE TIENDA;7491.8
159832;CASA HABITACIÓN;128144.22
159832;INMUEBLE TIENDA;38981.11
159832;INMUEBLE TIENDA;39256.62
159832;INMUEBLE CASA;248228.94
159833;ESTACIONAMIENTO;15746.66
159833;DEPARTAMENTO;145634.42
159833;DEPARTAMENTO;40176
159833;DEPARTAMENTO;72945
159833;PREDIO RURAL;102710.91
159833;PREDIO RURAL;99501.2
159833;PREDIO RURAL;112340.06
159833;PREDIO RURAL;65440.65
159833;PREDIO RURAL;76942.34
159833;PREDIO RURAL;90625.39
159833;CASA;166552.42
159833;PREDIO URBANO;42473.98
159834;DEPARTAMENTO;45000
159842;CASA;80000
159844;INMUEBLE;10000
159844;INMUEBLE;8288
159857;CASA;260000
159858;CASA;175000
159858;CASA;150000
159858;CASA;137000
159860;INMUEBLE;176067
159862;CASA;64013
159862;CASA;12100
159864;INMUEBLE;44000
158724;CASA;361068.47000000003
158724;DEPARTAMENTO;100023.27
158724;ESTACIONAMIENTO;13862.53
158725;ESTACIONAMIENTO;10000
158725;DEPARTAMENTO;150000
158726;DEPARTAMENTO;86056.27
158726;COCHERA;1847.53
158727;TERRENO;39000
158728;VIVIENDA;74395.65000000001
158728;VIVIENDA;140068.41
158728;VIVIENDA;39954.6
158729;INMUEBLE;10823.17
158729;INMUEBLE;76840.5
158731;CASA;165076
158731;CASA;712630
158731;CASA;106329
158734;DEPARTAMENTO;92622.64
158734;ESTACIONAMIENTO;19026
158738;CASA;84208.14
158739;CASA;180000
158742;CASA;45000
158742;PUESTO;23500
158743;CASA;295000
158743;TERRENO;80000
158743;TERRENO;20000
158743;TERRENO;50000
158743;TERRENO;50000
158743;CASA;300000
158743;CASA;350000
158743;CASA;250000
158743;CASA;380000
158745;TERRENO;27914.4
158747;CASA;50000
158747;CASA;900000
158748;DEPARTAMENTO;206006
158750;ESTACIONAMIENTO;23729
158750;OFICINA;102452
158750;DEPARTAMENTO;121331
158750;DEPARTAMENTO;56136
158751;DPTO;96981.07
158630;VIVIENDA;51241.14
158631;TERRENO;4201.8
158631;CASA;34042
158633;VIVIENDA;214624.54
157907;CASA;100000
157907;CASA;50000
157907;LOCAL;20000
157908;CASA;80000
157910;CASA;37000
157910;CASA;35000
158181;TERRENO;134936
158181;CASA;3164.6
158183;STAND;24000
158183;CASA;49000
158072;DEPARTAMENTO;375200
158072;ESTACIONAMIENTO;26800
158072;TERRENO;63168
158075;CASA;80000
159885;CASA;160000
159886;CASA;159960
159888;CASA;120000
159888;TERRENO;40000
159888;TERRENO;150000
160152;TERRENO;0
160552;CASA;40292.25
160552;DEPARTAMENTO;652800
160552;ESTACIONAMIENTO N° 05;34000
160553;CASA;250000
160553;CASA;150000
160553;CASA;60000
160554;CASA;47060
160554;CASA;18142
160554;LOCAL COMERCIAL;24902
160554;LOCAL COMERCIAL;89684
160554;CASA;20518
160554;CASA;80242
160554;CASA;47060
160555;CASA;115264.96
161271;CASA;100
161271;TERRENO;50
161272;CASA HABITACIÓN;95000
161272;COPROPIEDAD;200000
161758;CASA;141299.15
161758;TERRENO;19235.850000000002
160998;CASA;152838.1
160998;CASA;395937.07
160998;CASA;314113.89
160998;TERRENO CERCADO;2375.02
160998;TERRENO AGRICOLA;75
160999;CASA;52475.21
160999;TERRENO;30000
160999;CASA/TERRENO;2671.56
160999;TERRENO;12000
161000;TERRENO DE CASA;80000
161000;CASA RUSTICA;20000
161000;TERRENO;10000
161000;TERRENO;80000
161000;TERRENO;15000
159614;INMUEBLE (CASA);1521923
159615;CASA;41557.11
159616;DEPARTAMENTO;139002.81
159616;ESTACIONAMIENTO;24930.260000000002
159616;DEPOSITO;4898.91
159616;DEPARTAMENTO;203718.33000000002
159616;ESTACIONAMIENTO;17060.78
159617;VIVIENDA;162949.58000000002
159617;TERRENO;201.28
160705;LOTE DE VIVIENDA;3500
160706;CASA;26646.4
160706;CASA;26646.4
160706;DPTO;25000
159217;CASA;544000
159217;DEPARTAMENTO;72592
161477;PROPIEDAD NO INSCRITO;120000
161735;INMUEBLE;349.48
161735;INMUEBLE;10
161737;CASA;7532.7
160074;CASA;218904
160075;TERRENO;0
159512;CASA VIVIENDA;15000
159512;TERRENO;30000
161238;INMUEBLE;100000
161239;DEPARTAMENTO;113225.65000000001
161239;DEPOSITO;6212.13
158115;DEPARTAMENTO;56847.520000000004
158115;ESTACIONAMIENTOI;1486.24
158194;RESIDENCIA;150000
158196;TERRENO;100000
158196;TERRENO;80000
158196;TERRENO;80000
161749;TERRENO;8750
161749;TERRENO;8750
161749;TERRENO;8750
161749;TERRENO;8750
161749;TERRENO;8750
161749;TERRENO;8794
161749;TERRENO;390290
161749;TERRENO;29450
161749;TERRENO RURAL;109693
161749;TERRENO RURAL;20380
157911;CASA;203639.65
157913;PREDIO URBANO;20000
157913;PREDIO URBANO;20000
157913;PREDIO RURAL;12000
157914;CASA;90398.76
157914;CASA;81066.53
157914;CASA;100000
157914;CASA;0
157914;CASA;118358.65000000001
158701;CASA;50000
158703;CASA;35000
160228;CASA;16470
161628;CASA;60000
159231;CASA;263860
159231;CASA;877000
159231;CASA;99120
159233;CASA;93456.88
159233;CASA;25017.920000000002
159233;CASA;82276.6
159233;DEPARTAMENTO;119310.03
159233;ESTACIONAMIENTO;12043.27
159233;DEPOSITO;2884.44
159234;CASA INMUEBLE;57152.53
159417;VIVIENDA;35000
159417;VIVIENDA;150000
159417;VIVIENDA;120000
159418;INMUEBLE;4925.5
159420;VIVIENDA;70000
159424;CASA;18000
160321;INMUEBLE;100000
160321;INMUEBLE;120000
160232;CASA;100000
160232;CASA;200000
160232;TERRENO;20000
160233;CASA;42000
160233;CASA;28000000
160233;CASA;550000
160235;CASA;45000
160988;INMUEBLE;90000
160989;DEPARTAMENTO;220000
158989;VIVIENDA;40000
158989;TERRENO;60000
157915;TERRENO RURAL;120000
157915;TERRENO RURAL;100000
157915;TERRENO RURAL;10000
157915;TERRENO RURAL;80000
157915;TERRENO RURAL;10000
