ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
159253;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO GENERAL DISTRITAL DE EL AGUSTINO;2015;HASTA LA ACTUALIDAD
159254;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;MIEMBRO TITULAR DEL TRIBUNAL NACIONAL DE ETICA Y DISCIPLINA;2011;2015
159257;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO GENERAL DISTRITAL DE LA VICTORIA;2014;HASTA LA ACTUALIDAD
159260;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA NACIONAL DE LA MUJER;2018;HASTA LA ACTUALIDAD
159263;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO GENERAL DISTRITAL DE PUEBLO LIBRE;2015;HASTA LA ACTUALIDAD
159264;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;PRIMERA SUB SECRETARIA PROVINCIAL LIMA CENTRO;2015;HASTA LA ACTUALIDAD
159265;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SEC. DISTRITAL DE LA MOLINA;2019;HASTA LA ACTUALIDAD
159265;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SUB SECRETARIO DISTRITAL DE LA MOLINA;2015;2019
159266;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;PRIMERA SUBSECRETARIA DE CARABAYLLO;2017;HASTA LA ACTUALIDAD
159267;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIA NACIONAL DE POLITICA;2017;HASTA LA ACTUALIDAD
159268;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;2NDA SUBSECRETARIA DISTRITAL CERCADO DE LIMA;2010;2013
159270;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;PRIMERA SECRETARIA DISTRITAL DEL DISTRITO DE ATE;2011;2015
159271;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO DISTRITAL DE PLAN DE GOBIERNO SANTA ANITA;2015;HASTA LA ACTUALIDAD
159275;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SECRETARIO REGIONAL DE MOVILIZACIÓN - LIMA METROPOLITANA;2019;HASTA LA ACTUALIDAD
159275;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;SUB SECRETARIO NACIONAL DE JUVENTUDES;2006;2007
