ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
161558;PARTIDO POLÍTICO FUERZA POPULAR;REGIDOR PROVINCIAL;2015;2018
160161;PARTIDO POLÍTICO FUERZA POPULAR;ALCALDE DISTRITAL;2015;2018
160238;PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;2003;2006
159605;PARTIDO POLITICO SIEMPRE UNIDOS;ALCALDE DISTRITAL;2011;2014
159605;MOVIMIENTO REGIONAL O DEPARTAMENTAL CONTIGO TACNA;ALCALDE DISTRITAL;2007;2010
159435;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;REGIDOR PROVINCIAL;1987;1992
159751;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONSEJERO REGIONAL;2003;2006
158126;MOVIMIENTO REGIONAL TACNA HEROICA;CONSEJERO REGIONAL;2003;2006
158126;ALIANZA ELECTORAL IZQUIERDA UNIDA;ALCALDE PROVINCIAL;1990;1992
159879;ORGANIZACIÓN POLÍTICA LOCAL DISTRITAL FRENTE INDEPENDIENTE EL FUTURO ES AHORA;REGIDOR DISTRITAL;2011;2014
159877;ORGANIZACIÓN POLÍTICA LOCAL PROVINCIAL POR EL PROGRESO DE JORGE BASADRE;ALCALDE DISTRITAL;2011;2014
159877;PARTIDO POLÍTICO VAMOS PERU;ALCALDE DISTRITAL;2015;2018
160639;PARTIDO POLÍTICO ACCION POPULAR;CONGRESISTA DE LA REPÚBLICA;2001;2006
160639;ALIANZA ELECTORAL ALIANZA PERU POSIBLE;CONGRESISTA DE LA REPÚBLICA;2011;2016
160640;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;1990;1992
160640;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR PROVINCIAL;1999;2002
160641;FRENTE DEMOCRÁTICO (FREDEMO);ALCALDE DISTRITAL;1990;1992
157943;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;REGIDOR DISTRITAL;1984;1985
160591;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2011;2016
160593;FUERZA 2011;CONGRESISTA DE LA REPÚBLICA;2011;2016
161358;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONSEJERO REGIONAL;2011;2014
159701;PARTIDO POLÍTICO RESTAURACION NACIONAL;ALCALDE DISTRITAL;2007;2010
158847;PARTIDO POLÍTICO UNION POR EL PERU;REGIDOR PROVINCIAL;2003;2006
161188;PARTIDO POLÍTICO PARTIDO POPULAR CRISTIANO - PPC;ALCALDE DISTRITAL;1993;1995
161188;FREDEMO;REGIDOR PROVINCIAL;1990;1992
157866;MOVIMIENTO REGIONAL O DEPARTAMENTAL ADUANEC;ALCALDE DISTRITAL;2011;2014
157868;ALIANZA ELECTORAL MAR CALLAO;REGIDOR DISTRITAL;2015;2018
157868;MOVIMIENTO REGIONAL O DEPARTAMENTAL FUERZA CHALACA;REGIDOR DISTRITAL;2019;HASTA LA ACTUALIDAD
