ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
161212;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MEDICINA;SI;SI;SI
161214;UNIVERSIDAD SAN IGNACIO DE LOYOLA;ADMINISTRACIÓN HOTELERA;SI;SI;NO
161215;UNIVERSIDAD TECNOLÓGICA DEL PERÚ;ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;SI;SI;SI
161216;PONTIFICI UNIVERSIDAD CATOLICA DEL PERU;GESTION Y ALTA DIRECCION;NO;;
161217;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;PSICOLOGIA;SI;SI;NO
161220;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;ENFERMERIA;SI;SI;SI
161222;UNIVERSIDAD SAN MARTIN DE PORRES;INGENIERIA DE COMPUTACION Y SISTEMAS;SI;SI;SI
161223;SAN MARTIN DE PORRES;CIENCIAS DE LA COMUNICACIÓN;SI;SI;SI
161225;UNIVERSIDAD DE LIMA;ADMINISTRACIÓN DE EMPRESAS;SI;SI;
161227;ESCUELA MILITAR DE CHORRILLOS;CIENCIAS MILITARES;SI;SI;SI
161227;SEÑOR DE SIPÁN;ADMINISTRACIÓN;SI;SI;SI
161227;UNIVERISDAD SEÑOR DE SIPAN;ADMINISTRACION;SI;SI;SI
160240;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU - PUCP;SOCIOLOGIA;SI;SI;SI
160241;INCA GARCILAZO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;;SI
160242;SAN MARTIN DE PORRES;DERECHO  Y CIENCIA POLITICA;SI;SI;SI
160243;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;HISTORIA;SI;SI;SI
160244;UNIVERSIDAD METROPOLITANA DE CARACAS - VENEZUELA;INGENIERIA MECANICA;SI;SI;SI
160245;UNIVERSIDAD SAN MARTIN DE PORRES;ADMINISTRACION DE NEGOCIOS INTERNACIONLES;NO;NO;NO
160246;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
160247;UNIVERSIDAD PERUANA LOS ANDES;ADMINISTRACION Y SISTEMAS;SI;SI;NO
160247;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;ADMINISTRACION;SI;NO;SI
160248;UNIVERSIDAD NACIONAL SAN ANTONIO DEL CUSCO;DERECHO;SI;SI;SI
160249;TELESUP;ADMINISTRACIÓN;SI;SI;NO
160250;INCA GARCILASO DE LA VEGA;DERECHO;NO;NO;NO
160251;UNIVERSIDA NACIONAL ALTIPLANO - PUNO - UNA;CIENCIAS DE LA COMUNICACION;SI;SI;NO
160251;UNIVERSIDAD PERUANA LOS ANDES;DERECHO Y CIENCIAS POLITICAS;SI;;
160252;JOSE CARLOS MARIATEGUI;DERECHO;SI;NO;NO
160253;UNIVERSIDAD SAN MARTIN DE PORRES;SOCIOLOGIA;NO;NO;NO
160254;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
160255;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;ARQUEOLOGIA CON MENCION EN CIENCIAS SOCIALES;SI;SI;SI
160257;ENRIQUE GUZMAN Y VALLE;LICENCIADO EN EDUCACION;SI;SI;SI
160258;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;EDUCACION MATEMATICA - FISICA;SI;SI;SI
160260;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;GEOGRAFIA;SI;SI;NO
160261;UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION;TRABAJO SOCIAL;SI;SI;SI
160261;UNIVERSIDAD TECNOLOGICA DEL PERU;DERECHO;NO;NO;NO
160262;UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA;AGRONOMIA;NO;NO;NO
160264;CESAR VALLEJO;DERECHO;NO;NO;NO
160265;INCA GARCILAZO DE LA VEGA;LICENCIADO EN EDUCACION;SI;SI;SI
160266;UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION;EDUCACION;SI;SI;SI
